"","x"
"but please dont",8473
"but plenty of",8537
"but probably not",8484
"but really i",8439
"but really the",8419
"but refused to",8541
"but regardless of",8528
"but remember that",8476
"but right now",8547
"but seeing as",8505
"but seems to",8517
"but seriously i",8463
"but shes not",8472
"but should be",8495
"but some are",8408
"but somehow i",8493
"but some of",8490
"but some people",8445
"but take a",8500
"butter and jelly",8447
"butter and sugar",8475
"butter in a",8537
"butter in the",8502
"butter or margarine",8512
"but thanks for",8534
"but thanks to",8504
"but thank you",8564
"but there’s a",8503
"but there’s no",8477
"but these are",8496
"but these days",8443
"but these were",8447
"but theyre not",8499
"but things are",8513
"but think about",8519
"but think of",8507
"but think that",8500
"but those are",8498
"but those who",8478
"but today i",8526
"but today is",8487
"button at the",8574
"but tonight i",8535
"button in the",8542
"button on my",8502
"button on the",8552
"but trust me",8580
"but trying to",8592
"but try to",8557
"but two of",8498
"but u can",8501
"but u know",8486
"but until then",8541
"but wanted to",8585
"but want to",8581
"but well be",8495
"but well see",8516
"but well worth",8494
"but were going",8488
"but were not",8512
"but were still",8479
"but weve been",8528
"but weve got",8551
"but whatever it",8525
"but wheres the",8594
"but while the",8545
"but will be",8524
"but will have",8486
"but will not",8487
"but without a",8526
"but without the",8549
"but wonder if",8558
"but worth it",8586
"but yeah i",8539
"but yes i",8531
"but youll have",8544
"but youre not",8535
"but youve got",8598
"buy all the",8584
"buy get free",8602
"buy her a",8584
"buy him a",8594
"buying a car",8504
"buying a house",8515
"buying and selling",8592
"buying a new",8543
"buy into the",8600
"buy it and",8535
"buy it for",8509
"buy it in",8501
"buy me a",8585
"buy one get",8582
"buy one of",8550
"buy some of",8544
"buy the new",8485
"buy tickets for",8563
"buy you a",8607
"by about percent",8570
"by adding a",8566
"by advertising and",8643
"by as many",8590
"by as much",8592
"by at least",8609
"by at the",8550
"by becoming a",8601
"by being a",8542
"by both the",8581
"by calling or",8554
"by changing the",8616
"by clicking here",8598
"by clicking on",8610
"by clicking the",8589
"by comparison the",8576
"by continuing to",8638
"by contrast the",8576
"by creating a",8615
"by day and",8596
"by doing a",8547
"by doing so",8584
"by doing this",8553
"by double digits",8659
"by end of",8665
"by failing to",8662
"by far my",8551
"by far the",8646
"by focusing on",8662
"by following the",8612
"by for a",8632
"by for some",8567
"by giving them",8588
"by god and",8596
"by going to",8633
"by gov chris",8624
"by hand and",8589
"by having a",8609
"by having the",8597
"by him and",8577
"by how many",8597
"by how much",8603
"by hundreds of",8678
"by in the",8627
"by it and",8566
"by it i",8561
"by its cover",8563
"by its own",8560
"by its very",8550
"by law enforcement",8596
"by law the",8589
"by law to",8590
"by less than",8681
"by listening to",8685
"by looking at",8676
"by making a",8608
"by making it",8601
"by making the",8598
"by many of",8586
"by many to",8590
"by me and",8602
"by means of",8704
"by me i",8574
"by members of",8695
"by more than",8695
"by most of",8631
"by myself and",8611
"by myself i",8612
"by nearly percent",8640
"by new jersey",8619
"by new york",8647
"by next week",8669
"by no means",8703
"by none other",8699
"by one of",8667
"by on the",8629
"by our booth",8612
"by people who",8674
"by percentage points",8718
"by phone from",8619
"by points in",8654
"by police and",8618
"by president barack",8681
"by providing a",8648
"by putting the",8638
"by reading the",8667
"by reason of",8722
"by reducing the",8683
"by refusing to",8730
"by republican gov",8672
"by side with",8669
"by so fast",8675
"by so many",8666
"by some as",8596
"by some of",8655
"by someone else",8643
"by someone in",8632
"by someone who",8657
"by so slow",8636
"by state and",8646
"by state law",8659
"by st louis",8699
"by such a",8681
"by superior court",8744
"by tacobell accident",8730
"by taking a",8661
"by taking the",8664
"by talking about",8710
"by telling me",8673
"by telling us",8677
"by that i",8670
"by that point",8620
"by that time",8660
"by their own",8639
"by their parents",8612
"by then i",8661
"by then the",8638
"by thomson reuters",8759
"by those that",8632
"by those who",8722
"by thousands of",8755
"by today and",8691
"by to say",8653
"by to see",8672
"by trying to",8754
"by up to",8765
"by using a",8689
"by using the",8694
"by virtue of",8771
"by voters in",8721
"by voting for",8743
"by way of",8769
"by way too",8666
"by wearing a",8738
"by which i",8673
"by which the",8693
"by which we",8681
"by winning the",8744
"by with a",8692
"by working with",8727
"by years end",8747
"by you and",8678
"by your own",8652
"by your side",8682
"by yours truly",8781
"cab for cutie",8774
"cabin in the",8786
"c above pp",8776
"cake cake cake",8785
"cake in the",8759
"cake with a",8717
"california and the",8692
"california department of",8794
"california highway patrol",8784
"california in the",8732
"california public utilities",8776
"california state university",8761
"call attention to",8794
"call at the",8722
"call call call",8795
"call each other",8797
"called and said",8706
"called by the",8740
"called him a",8724
"called in the",8727
"called in to",8736
"called into question",8779
"called it a",8749
"called it the",8711
"called my mom",8719
"called one of",8802
"called on the",8761
"called on to",8705
"called out to",8739
"called the new",8630
"called the police",8647
"called upon to",8793
"called up to",8759
"call from a",8742
"call from my",8705
"call from the",8752
"call him a",8727
"call if you",8788
"calling for a",8753
"calling for an",8718
"calling for the",8746
"calling him a",8765
"calling it a",8786
"calling it an",8716
"calling me a",8736
"calling my name",8797
"calling the shots",8714
"call myself a",8812
"call now to",8775
"call of duty",8811
"call of the",8737
"call on the",8771
"call out the",8753
"calls and emails",8751
"call seeking comment",8837
"calls from the",8757
"calls himself a",8809
"calls in the",8794
"calls it a",8778
"calls it the",8768
"calls seeking comment",8840
"calls to the",8771
"call that a",8744
"call the cops",8703
"call the police",8718
"call to action",8734
"call today to",8770
"call to make",8710
"call to the",8754
"call with analysts",8770
"call with reporters",8777
"call you a",8733
"call you back",8727
"call yourself a",8835
"calm and carry",8750
"calm and collected",8751
"calm before the",8859
"calories a day",8847
"calories calories from",8862
"calories doing minutes",8866
"calories from fat",8862
"calories g fat",8838
"calories g protein",8836
"cal state fullerton",8812
"came a day",8811
"came after a",8790
"came after the",8807
"came along and",8798
"came and i",8765
"came and went",8827
"came as a",8833
"came as the",8805
"came at a",8825
"came at the",8835
"came away with",8847
"came by and",8808
"came by to",8809
"came close to",8878
"came crashing down",8873
"came down to",8843
"came down with",8771
"came for the",8823
"came here to",8816
"came into my",8801
"came into the",8844
"came into this",8764
"came off the",8856
"came over and",8828
"came over to",8839
"camera and the",8786
"camera with me",8857
"came through the",8799
"came through with",8807
"came time to",8900
"came together to",8810
"came with a",8842
"came with the",8827
"campaign against the",8831
"campaign finance reports",8827
"campaign for the",8828
"camping in the",8878
"can actually be",8800
"can actually see",8791
"canada and the",8846
"can add a",8832
"can add to",8815
"can agree on",8850
"can all agree",8812
"can all be",8823
"can almost hear",8844
"can already see",8851
"can already tell",8852
"can anyone help",8825
"can anyone recommend",8835
"can anyone tell",8824
"can ask for",8840
"can assist you",8902
"can assure you",8914
"can at least",8899
"can attest to",8893
"can barely see",8828
"can beat the",8844
"can become a",8867
"can begin to",8896
"can believe in",8886
"can benefit from",8908
"can bet that",8878
"can bring a",8811
"can bring the",8812
"can bring you",8809
"can build a",8868
"can buy a",8842
"can buy the",8824
"can buy them",8816
"can call it",8872
"can call me",8863
"can catch the",8869
"can catch up",8878
"can cause a",8851
"cancer in the",8875
"can check it",8870
"can check out",8902
"can choose a",8839
"can choose from",8860
"can choose to",8905
"can clearly see",8930
"can click on",8924
"can compete with",8919
"can continue to",8938
"can contribute to",8913
"can control the",8871
"can count on",8926
"can create a",8892
"can deal with",8957
"can depend on",8954
"candidate for president",8852
"candidate for the",8910
"candidate in the",8922
"candidate mitt romney",8964
"candidates for the",8919
"candidates in the",8923
"candidates will be",8928
"can dig it",8938
"can dm you",8935
"can dream it",8917
"can easily be",8902
"can email me",8924
"can end up",8932
"can enjoy a",8884
"can enjoy it",8873
"can enjoy the",8915
"can enter the",8917
"can even be",8868
"can even get",8856
"can even make",8853
"can ever be",8895
"can expect a",8881
"can expect to",8937
"can figure out",8970
"can finally get",8900
"can fit in",8934
"can fix it",8923
"can focus on",8984
"can follow me",8906
"can follow the",8902
"can forget about",8950
"can guarantee you",8955
"can handle it",8910
"can handle the",8899
"can hang out",8945
"can hang with",8927
"can happen in",8903
"can happen to",8895
"can happen when",8891
"can hardly wait",8933
"can he be",8907
"can he do",8904
"can hit the",8929
"can honestly say",8999
"can hope for",8972
"can if you",8958
"can improve the",8928
"can in the",8945
"can it be",8979
"can it get",8895
"can join in",8927
"can join the",8918
"can join us",8962
"can just be",8868
"can just go",8887
"can just make",8870
"can kind of",9018
"can kiss my",8996
"can lead to",9006
"can leave the",8936
"can listen to",9015
"can live in",8936
"can live with",8969
"can live without",8911
"can love you",8971
"can manage to",8965
"can meet up",8942
"can meet you",8943
"can move forward",8944
"can move on",8957
"can no longer",9030
"cannot afford to",9010
"can not be",8941
"cannot believe how",8947
"cannot believe i",8955
"cannot believe that",8969
"cannot continue to",9026
"cannot drive out",9036
"cannot get enough",8960
"cannot help but",9018
"can not only",8891
"cannot see the",8971
"cannot tell you",9016
"cannot think of",9032
"can not wait",8972
"cannot wait for",8996
"cannot wait to",9016
"cannot wait until",8917
"can now be",8950
"can often be",9006
"can of worms",8952
"can participate in",9031
"can pick up",9015
"can point to",9012
"can possibly be",8991
"can pretty much",9053
"can provide a",8964
"can pull it",9002
"can pull off",8982
"can purchase a",9005
"can range from",9057
"can reduce the",9017
"can relate to",9047
"can remember the",8957
"can remember when",8944
"can result in",9055
"can return to",9032
"can run a",8965
"can run the",8970
"can safely say",9037
"can save the",8968
"can save you",8973
"can serve as",9038
"can set the",9005
"can set up",9002
"can share the",8975
"can show you",9021
"can sign up",9063
"can sit in",9007
"can sleep in",9008
"can someone explain",8991
"can someone please",9018
"can someone tell",8985
"can sometimes be",9046
"can spend the",9007
"can stand up",9011
"can start a",8970
"can start the",8974
"can start to",8975
"can stay in",9012
"can stop by",8981
"can stop the",8982
"can suck it",9047
"can sum up",9085
"can’t afford to",9062
"can talk about",9052
"can talk to",9035
"cant argue with",9077
"cant beat a",9002
"cant beat that",9037
"cant beat the",9004
"can’t believe i",9011
"cant bring myself",9077
"cant buy a",9021
"cant catch a",9077
"cant change the",9052
"cant come soon",9056
"cant come to",9028
"cant comment on",9102
"cant continue to",9103
"cant deal with",9096
"cant decide if",9052
"cant decide whether",9022
"cant decide which",9023
"cant describe how",9089
"can’t do anything",9030
"can’t do it",9045
"can’t do that",9024
"cant fall asleep",9107
"cant feel my",9103
"cant figure it",9036
"can’t figure out",9115
"cant figure out",9115
"can’t get enough",9034
"cant give up",9058
"cant go back",9013
"cant go to",9062
"can’t go wrong",9065
"cant go wrong",9058
"cant handle the",9057
"cant handle this",9036
"can that be",9103
"cant have a",9059
"cant have it",9033
"can’t help but",9112
"can’t help it",9032
"can then be",9065
"can there be",9116
"can they do",9037
"can think about",9058
"can think of",9126
"can this be",9095
"cant i be",9034
"cant i have",9030
"cant i just",9065
"cant imagine how",9061
"cant imagine what",9040
"cant it be",9114
"cant keep a",9049
"cant keep up",9091
"cant listen to",9148
"cant live without",9135
"cant look at",9127
"cant make a",9040
"cant make it",9104
"cant make the",9036
"cant remember the",9096
"cant remember what",9048
"can try to",9121
"can’t say i",9089
"can’t say that",9093
"can’t seem to",9164
"cant seem to",9166
"cant sleep and",9031
"cant sleep i",9029
"cant sleep so",9026
"cant speak for",9127
"cant talk about",9119
"cant talk to",9111
"cant tell if",9087
"cant tell me",9069
"can’t tell you",9138
"cant tell you",9132
"cant thank you",9161
"can’t think of",9169
"cant think of",9165
"cant understand why",9120
"“ cant wait",9167
"can’t wait for",9107
"can’t wait to",9164
"cant we all",9115
"cant we just",9110
"cant you just",9122
"cant you see",9092
"can understand that",9098
"can understand the",9096
"can understand why",9102
"can vote for",9147
"can wait for",9103
"can wait to",9100
"can wait until",9115
"can walk to",9107
"can watch it",9091
"can watch the",9131
"can win a",9099
"can win the",9103
"can win this",9084
"can with a",9125
"can with the",9143
"can write a",9118
"capacity of the",9143
"cap and gown",9123
"cap and trade",9124
"cape may county",9132
"capital city of",9144
"capital gains and",9140
"capitalize on the",9167
"capital of the",9172
"captain david backes",9209
"captain of the",9195
"captured by the",9166
"car at a",9126
"car at the",9166
"carbohydrate g fat",9191
"carbohydrate g protein",9129
"carbohydrate g sugar",9139
"carbohydrates g fiber",9199
"card and a",9101
"card and i",9092
"card and the",9089
"card from the",9161
"card i have",9102
"card i made",9146
"card in the",9177
"card is a",9128
"card i used",9123
"cards for the",9121
"cards in the",9180
"card stock and",9142
"card that i",9166
"card to share",9121
"card to the",9122
"card using the",9192
"card with a",9169
"card with the",9154
"care at all",9182
"care but i",9174
"career and he",9127
"career as a",9223
"career as an",9150
"career has been",9215
"career he was",9158
"career high with",9198
"career in the",9176
"career on the",9213
"career with a",9173
"career with the",9201
"careful not to",9250
"careful out there",9248
"careful what you",9243
"care how much",9189
"care in the",9201
"care less about",9218
"care more about",9231
"care much for",9223
"cares about me",9153
"cares about the",9172
"cares if you",9209
"care so much",9231
"care too much",9250
"care who you",9182
"car for a",9179
"car for the",9189
"car from the",9232
"car he was",9197
"car in a",9158
"car in front",9156
"caring about the",9222
"caring for a",9166
"caring for the",9192
"car in the",9224
"car into a",9226
"car into the",9234
"car is a",9179
"car on the",9244
"car out of",9254
"car parked in",9239
"carpet at the",9270
"car rental company",9225
"carried away with",9223
"carried out by",9219
"carried out the",9167
"carries a maximum",9214
"carries with it",9269
"carry on the",9190
"carry on with",9174
"carry out the",9232
"cars and a",9155
"cars and trucks",9215
"cars in the",9251
"car so i",9239
"cars on the",9272
"car to get",9183
"carved out a",9255
"carve out a",9250
"car when i",9240
"car with a",9215
"car with the",9212
"case against the",9228
"case and the",9211
"case at the",9256
"case for a",9184
"case for the",9230
"case has been",9250
"case he said",9233
"case i am",9184
"case i have",9189
"case in point",9240
"case in the",9218
"case in which",9223
"case is the",9195
"case it is",9241
"case it was",9238
"case i was",9192
"case may be",9296
"case medical center",9315
"case of a",9210
"case of the",9245
"case on the",9257
"cases in the",9251
"cases in which",9259
"cases where the",9263
"case that has",9202
"case that the",9240
"case to be",9214
"case to the",9273
"case western reserve",9328
"case will be",9289
"case with a",9218
"case with the",9254
"case youre wondering",9308
"cash for a",9284
"cash in on",9273
"cash in the",9258
"cash on hand",9306
"cast and crew",9304
"cast a vote",9252
"cast doubt on",9329
"cast in a",9268
"cast in the",9276
"cast of characters",9254
"cast of the",9253
"cast your vote",9330
"catch a break",9225
"catch a flight",9219
"catch a glimpse",9263
"catcher in the",9333
"catcher yadier molina",9346
"catches for yards",9350
"catching up on",9315
"catching up to",9246
"catching up with",9288
"catch the ball",9236
"categories such as",9354
"cater to the",9299
"catholic church and",9248
"catholic church in",9267
"catholic high school",9353
"cat in the",9316
"cats and dogs",9312
"cats in the",9329
"caught a glimpse",9281
"caught in a",9315
"caught in the",9319
"caught my attention",9283
"caught my eye",9343
"caught off guard",9364
"caught on fire",9273
"caught on the",9274
"caught on video",9275
"caught passes for",9363
"caught the attention",9278
"caught the ball",9259
"cause and effect",9319
"caused by a",9291
"caused by the",9310
"caused him to",9373
"caused me to",9369
"caused quite a",9372
"cause for concern",9309
"cause for the",9291
"cause it was",9296
"cause me to",9363
"cause of death",9307
"cause of the",9333
"causes me to",9374
"causes us to",9388
"cause them to",9377
"cause you know",9287
"cause you to",9285
"causing it to",9369
"causing them to",9386
"cautioned that the",9335
"caution to the",9378
"cbs million viewers",9379
"c c c",9382
"cd release party",9361
"ceased to exist",9345
"ceases to amaze",9363
"ceases to be",9341
"cease to amaze",9329
"cee lo green",9344
"celebrate cinco de",9403
"celebrate mothers day",9405
"celebrate the end",9265
"celebrate the release",9270
"celebrate the th",9278
"celebrate with a",9322
"celebrate with us",9330
"celebrating the th",9305
"celebration in the",9370
"celebration of the",9361
"cell phones and",9336
"center and a",9289
"center and the",9322
"center at the",9353
"center comes out",9419
"centered on the",9367
"center for a",9253
"center for the",9352
"center is a",9321
"center marcus camby",9416
"center on the",9356
"centerpiece of the",9378
"center said the",9370
"centers for disease",9414
"centers in the",9380
"center where he",9352
"center where they",9357
"center which is",9352
"center will be",9357
"center with a",9365
"cent of the",9383
"central and eastern",9362
"central and south",9359
"central high school",9421
"central new jersey",9424
"central part of",9435
"central role in",9419
"central to the",9393
"central west end",9439
"centre of the",9415
"cents a share",9417
"cents on the",9415
"cents or percent",9430
"cents per gallon",9325
"cents per share",9431
"cents to cents",9349
"cents to in",9357
"cents to per",9347
"century it was",9431
"ceo of a",9319
"ceo of the",9392
"ceremony at the",9405
"ceremony will be",9427
"certain amount of",9456
"certain aspects of",9448
"certain content that",9459
"certain kind of",9458
"certain level of",9451
"certainly did not",9404
"certainly does not",9418
"certainly do not",9427
"certainly going to",9461
"certainly has a",9423
"certainly have to",9400
"certainly is a",9414
"certainly not a",9364
"certainly not the",9367
"certainly one of",9458
"certainly the case",9389
"certainly would have",9432
"certain number of",9467
"certain parts of",9465
"certain that i",9376
"certain that the",9380
"certain to be",9414
"certain type of",9478
"certain types of",9479
"certificate to the",9437
"certified by the",9472
"certified public accountant",9474
"certified wet tshirt",9484
"chain of command",9392
"chain of events",9408
"chair in the",9433
"chairman and ceo",9447
"chairman and chief",9441
"chairman ben bernanke",9486
"chairman of the",9479
"chairman president and",9488
"chair of the",9473
"chairwoman of the",9488
"chalk it up",9495
"challenge and i",9382
"challenge and the",9397
"challenge at the",9426
"challenge for me",9401
"challenge for the",9422
"challenge for you",9398
"challenge here at",9476
"challenge in the",9440
"challenge is to",9444
"challenge of the",9424
"challenge over at",9495
"challenges in the",9429
"challenges to the",9443
"challenge this week",9470
"challenge to the",9433
"challenge will be",9487
"challenge you to",9478
"chamber of commerce",9508
"champion in the",9481
"champion of the",9454
"championship game against",9389
"championship game at",9386
"champions league final",9455
"chance at a",9458
"chance for a",9451
"chance for the",9416
"chance i get",9436
"chance in the",9478
"chancellor angela merkel",9509
"chances of a",9404
"chances of getting",9408
"chances of winning",9424
"chances to win",9476
"chance that the",9436
"chance that you",9440
"change and i",9398
"change and the",9406
"change a thing",9445
"changed a lot",9489
"changed and the",9446
"changed for the",9495
"changed his mind",9480
"changed his name",9453
"changed in the",9492
"changed my life",9486
"changed my mind",9466
"changed my password",9415
"changed over the",9527
"changed so much",9513
"changed the name",9407
"changed the way",9452
"changed the world",9402
"changed to the",9445
"change for the",9495
"change from the",9500
"change his mind",9489
"change is good",9454
"change is the",9439
"change it to",9450
"change it up",9449
"change my life",9433
"change my mind",9474
"change my name",9447
"change or removal",9535
"changes at the",9527
"changes to the",9519
"change their mind",9461
"change their minds",9476
"change to a",9457
"change to the",9476
"change with the",9512
"changing the way",9476
"changing the world",9477
"channel action news",9568
"channel in the",9533
"chapter bankruptcy protection",9527
"chapter in my",9503
"chapter in the",9514
"chapter of my",9474
"chapter of the",9539
"chapter page of",9571
"chapters of the",9535
"character in a",9473
"character in the",9534
"character is a",9492
"characteristics of a",9513
"characteristics of the",9523
"character of the",9532
"characters and the",9475
"characters and their",9469
"characters from the",9530
"characters in a",9490
"characters in the",9536
"characters in this",9488
"characters or less",9571
"characters who are",9536
"character who is",9524
"charged him with",9576
"charged in a",9498
"charged in connection",9486
"charged in the",9562
"charge of the",9539
"charges against a",9483
"charges against him",9484
"charges against the",9522
"charges have been",9585
"charges in the",9551
"charges related to",9603
"charges that he",9548
"charges were dropped",9527
"charges were filed",9532
"charles de gaulle",9594
"charles for more",9596
"charlie a dooley",9594
"charter high school",9609
"charter school in",9513
"charter schools and",9499
"charter schools are",9497
"charter schools in",9509
"chatting with you",9543
"chat with the",9509
"chat with you",9535
"ch dc in",9614
"cheaper than the",9532
"check back for",9537
"check back soon",9515
"checked in at",9541
"checked it out",9602
"checked out our",9500
"checked out the",9554
"checked out your",9528
"check em out",9622
"check for the",9535
"check her out",9601
"check him out",9627
"checking in at",9530
"checking in on",9554
"checking in with",9549
"checking it out",9627
"checking out the",9584
"checking out your",9504
"checking us out",9634
"check into the",9589
"check it out",9636
"check me out",9632
"check my email",9542
"check on the",9578
"checks and balances",9585
"check that out",9589
"check them out",9641
"check the weather",9501
"check this out",9609
"check to make",9567
"check to see",9593
"check to the",9583
"check up on",9603
"check us out",9653
"check with the",9582
"check with your",9574
"check you out",9622
"cheer for the",9586
"cheering for the",9592
"cheering you on",9657
"cheer me up",9655
"cheer on the",9610
"cheese and a",9544
"cheese in the",9603
"cheese on the",9611
"cheese on top",9605
"chef at the",9604
"chef de cuisine",9663
"cheltenham gold cup",9667
"cherry on top",9659
"chicago chicago illinois",9664
"chicago for the",9604
"chicago illinois incorporated",9643
"chicago in the",9620
"chicago police department",9621
"chicago white sox",9673
"chicken broth and",9611
"chicken in the",9609
"chicken noodle soup",9662
"chicken pot pie",9670
"chick she so",9656
"chief among them",9667
"chief economist at",9651
"chief financial officer",9681
"chief information officer",9664
"chief investment officer",9668
"chief justice stuart",9611
"chief marketing officer",9686
"chief medical officer",9670
"chief of police",9566
"chief of staff",9661
"chief of the",9617
"chief operating officer",9692
"chiefs of staff",9669
"chief tim fitch",9670
"child abuse and",9615
"child and i",9575
"child and the",9568
"child has a",9635
"child in a",9592
"child in the",9645
"child is a",9586
"child is not",9577
"child left behind",9688
"child of god",9646
"child of the",9614
"child on the",9685
"child protective services",9707
"children ages and",9658
"children ages to",9659
"children are being",9561
"children are not",9562
"children are the",9567
"children as well",9635
"children at the",9656
"children do not",9672
"children from a",9625
"children from the",9630
"children have been",9634
"children i have",9630
"children in a",9586
"children in the",9664
"children in their",9573
"children living in",9705
"children on the",9676
"childrens museum of",9670
"children under the",9671
"children when they",9676
"children will be",9667
"children with autism",9640
"children would be",9673
"children younger than",9730
"child sex abuse",9702
"child sexual abuse",9724
"child to be",9629
"child to the",9623
"child who is",9664
"child who was",9657
"child will be",9680
"child with a",9674
"chile follow me",9739
"chilling with my",9706
"chillin in the",9700
"chill in the",9713
"china and india",9660
"china and the",9648
"china for the",9705
"china in the",9686
"chinese food and",9656
"chinese new year",9747
"chip away at",9739
"chip kelly said",9693
"chips and salsa",9669
"chock full of",9751
"chocolate and butter",9629
"chocolate cake and",9654
"chocolate cake with",9659
"chocolate chip cookie",9663
"chocolate chip cookies",9707
"chocolate chip day",9648
"chocolate chips and",9681
"chocolate ice cream",9760
"chocolate in the",9721
"chocolate peanut butter",9762
"choice but to",9741
"choice for a",9675
"choice for the",9676
"choice in the",9699
"choice of a",9644
"choice of the",9628
"choice of words",9625
"choices in life",9696
"choices in the",9720
"choices we make",9737
"choices you make",9750
"choice to be",9668
"choice would be",9763
"cholesterol g carbohydrate",9707
"cholesterol g protein",9765
"cholesterol mg sodium",9776
"choose from a",9648
"choose from and",9657
"choose from the",9650
"choose not to",9780
"choose one of",9713
"chooses not to",9780
"choose the one",9658
"choose the right",9667
"choose your own",9736
"choosing the right",9742
"chop it up",9772
"chosen by the",9741
"chosen for the",9723
"chosen not to",9792
"chose not to",9792
"chosen to be",9702
"chris and i",9733
"chris paul and",9718
"christians in the",9764
"christie said he",9724
"christie said the",9695
"christ is the",9736
"christ jesus amen",9739
"christmas eve and",9689
"christmas to all",9761
"christmas to you",9741
"christmas tree and",9695
"christ name amen",9803
"christ of latterday",9778
"chronicle press release",9807
"chsaa class aa",9804
"ch sc in",9806
"ch sl st",9810
"ch turn sc",9789
"chuck e cheese",9790
"chunk of the",9752
"church and i",9678
"church and state",9724
"church and the",9721
"church as a",9766
"church in a",9682
"church in the",9727
"church on sunday",9744
"cinco de mayo",9820
"circle of friends",9754
"circuit court judge",9736
"circuit court of",9776
"circumstances of the",9777
"circumstances surrounding the",9802
"cirque du soleil",9816
"cities across the",9815
"cities and towns",9742
"cities around the",9830
"cities in the",9799
"cities such as",9833
"citizen of the",9793
"citizens of the",9763
"city as a",9772
"city for a",9742
"city for the",9768
"city hall and",9723
"city hall the",9689
"city hall to",9707
"city has been",9754
"city he said",9790
"city high school",9819
"city in a",9722
"city in america",9710
"city in the",9794
"city is a",9714
"city is not",9698
"city is the",9726
"city it is",9796
"city it was",9790
"city medical center",9843
"city mpg highway",9853
"city music hall",9848
"city officials and",9740
"city officials said",9777
"city officials say",9745
"city on a",9777
"city on the",9773
"city school district",9814
"city that has",9752
"city that is",9759
"city to the",9741
"city was arrested",9761
"city where he",9774
"city will be",9793
"city with a",9789
"city with the",9785
"civil liberties union",9837
"civil rights act",9732
"civil rights movement",9775
"civil war and",9769
"civil war the",9731
"clackamas county sheriffs",9788
"claimed he was",9822
"claimed responsibility for",9872
"claimed that he",9791
"claimed that the",9810
"claimed to be",9842
"claimed to have",9836
"claiming that the",9816
"claiming to be",9845
"claiming to have",9829
"claims that the",9819
"claims to be",9839
"claims to have",9835
"claim that he",9775
"claim that the",9816
"claim that they",9759
"claim your prize",9868
"clap your hands",9886
"clash of the",9854
"class aaa columbus",9841
"class a championship",9776
"class a division",9769
"class and the",9768
"class and then",9749
"class a state",9822
"class at the",9831
"classes at the",9827
"classes for the",9814
"classes in the",9844
"classes will be",9877
"classic case of",9900
"classic example of",9891
"classified as a",9839
"class in the",9845
"class it was",9858
"class i was",9805
"class of the",9802
"class on the",9826
"class right now",9903
"class this morning",9829
"class will be",9865
"clause of the",9915
"clean and simple",9821
"cleaned up the",9850
"cleaning and organizing",9835
"cleaning my room",9876
"cleaning out the",9866
"cleaning the house",9856
"cleaning up my",9813
"cleaning up the",9864
"clean it up",9891
"clean my room",9893
"clean out my",9853
"clean out the",9881
"clean the house",9835
"clean up after",9809
"clean up the",9867
"clean up your",9799
"clean water act",9878
"clean water and",9856
"clear embossing powder",9931
"clear from the",9916
"clear in the",9875
"clear is that",9901
"clearly in the",9881
"clear my head",9897
"clear of the",9887
"clear out the",9892
"clear to me",9903
"clear to the",9842
"clear whether the",9890
"clerk of courts",9913
"clerk of the",9914
"cleveland browns stadium",9869
"cleveland city council",9923
"cleveland hopkins international",9943
"cleveland institute of",9950
"cleveland mayor frank",9933
"cleveland ohio —",9866
"cleveland ohio a",9813
"cleveland ohio the",9854
"cleveland state university",9937
"clevelands west side",9949
"click here and",9850
"click here for",9903
"click here to",9913
"clicking on the",9935
"click of a",9944
"click the image",9859
"click the link",9908
"clients in the",9905
"climate change and",9868
"climbed out of",9952
"climb out of",9958
"climb to the",9925
"clinging to a",9895
"clinging to the",9922
"cling to the",9920
"clips of the",9928
"clock is ticking",9936
"clock on the",9946
"close and personal",9892
"close as i",9890
"close at hand",9884
"close at pm",9903
"close attention to",9972
"close at the",9903
"close contact with",9978
"closed at the",9913
"closed due to",9984
"closed for the",9924
"closed his eyes",9951
"closed in the",9908
"closed its doors",9953
"closed my eyes",9983
"closed out the",9963
"closed the door",9906
"closed to the",9943
"closed to traffic",9905
"closed with a",9975
"close enough to",9966
"close eye on",9992
"close friend and",9910
"close friend of",9926
"close friends and",9901
"close in the",9926
"close it out",9942
"close look at",9993
"closely at the",9965
"closely tied to",9999
"closely with the",9954
"close my eyes",9995
"close of the",9954
"close out the",9970
"close proximity to",9980
"closer and closer",9993
"closer look at",9986
"closes at pm",9979
"closest thing to",9967
"closest to the",9964
"close the deal",9872
"close the door",9928
"close the gap",9888
"close up of",9951
"close your eyes",10004
"closing in on",9993
"closing of the",9972
"closure of the",9979
"clothes and a",9902
"clothes and shoes",9895
"clothes in the",9962
"clouds in the",10009
"cloudy with a",10011
"club and the",9937
"club drama want",10029
"club in the",9938
"club is a",9943
"clubs in the",9993
"clue as to",10031
"cnt wait to",10000
"coach and a",9915
"coach at the",9948
"coach bill belichick",9982
"coach byron scott",10036
"coach chip kelly",10038
"coach dave duncan",9985
"coach doug collins",10033
"coaches and players",9958
"coaches in the",10018
"coach for the",10006
"coach frank vogel",9999
"coach george karl",10036
"coaching staff and",9960
"coach in the",9995
"coach jeff fisher",10008
"coach jim harbaugh",9981
"coach jim tressel",9994
"coach joe paterno",9999
"coach john spencer",9981
"coach ken hitchcock",10048
"coach mike brown",9952
"coach mike riley",9969
"coach mike woodson",9954
"coach nate mcmillan",10057
"coach of the",10051
"coach pat shurmur",10025
