"","x"
"premiums for",9856
"premium to",9825
"preoccupation with",9951
"preoccupied with",9940
"preparations and",9857
"preparations are",9858
"preparations for",9912
"prepares for",9905
"prepares to",9923
"preponderance of",9970
"prepping for",9947
"prequel to",9933
"prerecession levels",9945
"prerequisite for",9946
"presale tickets",9918
"presbyterian church",9958
"preschool and",9870
"prescribed by",9875
"prescription drug",9903
"prescription drugs",9908
"prescription for",9885
"prescriptions for",9903
"preseason game",9892
"preseason games",9879
"presentations and",9889
"presentations from",9863
"presentations on",9860
"preservation and",9880
"preservation of",9903
"preserved in",9888
"preserving the",9942
"presided over",9993
"presidency of",9889
"preside over",9995
"presides over",9988
"presiding judge",9959
"presiding over",9956
"pres obama",9934
"pressured to",9949
"pressures of",9931
"pressures on",9902
"presumably because",9882
"presumed to",9932
"presumption of",9980
"presumptive gop",9945
"presumptive republican",9976
"pretended to",9991
"pretending that",9908
"pretending to",9983
"pretends to",9994
"prettier than",9935
"prevail in",9938
"prevalence of",9997
"prevalent in",9970
"prevented from",9937
"prevented him",9898
"prevented the",9942
"preventing the",9926
"prevents the",9946
"prevents them",9917
"preview for",9898
"preview of",9964
"preview the",9881
"prey on",9950
"prey to",9958
"pr for",9880
"priced and",9901
"priced at",9971
"priced from",9893
"pricey but",9930
"pricing and",9937
"pricing for",9913
"pricing is",9911
"prides itself",10014
"priest and",9916
"priest in",9911
"priests and",9946
"priests in",9922
"priests who",9923
"priest who",9926
"primaries in",9961
"princesses and",9981
"princeton university",9945
"principals in",9926
"principals of",9941
"printer ink",9930
"printer is",9939
"printing and",9914
"printing press",9912
"printing the",9919
"prior art",9901
"prior to",10034
"prior year",9888
"prisoner of",9997
"prisoners in",9932
"prisoners of",9945
"prisoners were",9930
"prisons and",9968
"prius c",9983
"privately held",9980
"privately owned",9985
"privileged to",10001
"privy to",10056
"proactive and",9983
"probability of",10028
"probable cause",10014
"probable that",9971
"probation and",9984
"probation for",9982
"probation officer",9959
"probe and",9946
"probe into",9977
"probe of",9976
"problematic for",9964
"prob not",9950
"proceeded to",10073
"proceed to",10009
"proceed with",10022
"processed and",9973
"processed food",9974
"processed foods",9991
"processing and",9976
"processing the",9975
"procession of",10036
"processor and",10009
"processor or",9984
"proclaimed that",9991
"proclaiming the",10023
"procrastination is",10003
"procter gamble",10087
"prod by",10022
"produces a",10015
"produces an",9955
"produces the",9998
"producing a",10017
"producing the",9989
"productions of",9973
"productivity and",10005
"professionalism and",10023
"profession and",9980
"profession i",9974
"professors and",10037
"professors who",9982
"profess to",10069
"proficient in",10059
"profiles and",9998
"profiles of",10012
"profiling and",10020
"profound and",10014
"programme and",9986
"programmed to",10080
"programme is",10002
"programme of",9989
"programmes designed",10084
"progressed to",10034
"progression of",10067
"progressive and",9972
"progressive field",10035
"prohibited by",10031
"prohibited from",10074
"prohibiting the",10057
"prohibits the",10042
"prohibit the",10055
"projection of",10048
"projections of",10022
"proliferation of",10119
"prolly the",10035
"prolong the",10096
"promarkers and",10095
"prominence in",10080
"prominent in",9988
"prominently in",10079
"prominent role",9997
"promising but",9986
"promising to",10049
"promo code",10057
"promo for",10006
"promo on",9996
"promotes the",10053
"promotional video",10045
"promotions and",10050
"prompting a",10060
"prompting the",10067
"prone to",10139
"pronounced dead",10103
"pronounce it",10051
"pronounce the",10066
"pronunciation of",10096
"propaganda and",10041
"prop b",10026
"propel the",10081
"propensity for",10115
"propensity to",10127
"properly and",10032
"properly for",9981
"prophets and",10070
"proponent of",10154
"proponents of",10117
"proportional to",10142
"proportion of",10135
"proportions of",10067
"proportion to",10086
"propose a",10090
"proposes a",10090
"proposes to",10111
"propose that",10062
"propose to",10087
"proposing a",10092
"proposing to",10113
"proposition that",10047
"propped up",10154
"propping up",10159
"proprietor of",10126
"prop up",10094
"pros and",10122
"pros at",10039
"prosciutto and",10125
"prose and",10090
"prosecuted for",10107
"prosecution and",10066
"prosecution of",10084
"prosecutor’s office",10180
"prose is",10070
"prospective buyers",10083
"prosperity and",10083
"prosperous and",10092
"prostate cancer",10171
"prostitutes and",10097
"prostitution and",10088
"prostitution is",10085
"prostitution scandal",10086
"protagonist is",10094
"protagonist of",10095
"protecting our",10068
"protecting the",10130
"protecting their",10056
"protections for",10133
"protective of",10094
"protective services",10115
"protects the",10130
"protested the",10125
"protesting the",10126
"protocol and",10109
"proves that",10148
"proves the",10079
"proves to",10132
"providence ri",10117
"provider of",10141
"province in",10085
"province of",10156
"proving that",10135
"proving the",10092
"proving to",10133
"proximity of",10138
"proximity to",10189
"prudential center",10202
"prudent to",10141
"pryor said",10121
"psal class",10177
"psalm the",10093
"psyched about",10136
"psyched for",10148
"psyched to",10170
"psychiatric hospital",10144
"psychiatrist and",10135
"psychiatry at",10182
"psychological and",10113
"psychological thriller",10100
"psychologist and",10146
"psychology and",10139
"psychology at",10107
"psychology of",10134
"pu bef",10193
"publications and",10131
"publicity and",10132
"publicity for",10128
"publicity stunt",10118
"publicprivate partnership",10211
"publisher and",10118
"publisher is",10087
"publisher of",10151
"pubs and",10146
"pubs in",10120
"pubs that",10125
"pudding and",10131
"pudding with",10113
"puddle of",10206
"puerto rican",10188
"puerto rico",10228
"puerto vallarta",10135
"puff of",10161
"puff pastry",10185
"puget sound",10256
"pulitzer prize",10217
"pulitzer prizewinning",10175
"pulp fiction",10199
"pulse of",10164
"pulse the",10143
"pulse until",10152
"pumping out",10157
"pumping up",10158
"pumpkins and",10180
"pumps and",10171
"punches and",10184
"punching a",10186
"punching bag",10182
"punching the",10163
"punctuated by",10236
"punctuated with",10209
"pungleme app",10270
"pun intended",10240
"punishable by",10267
"punished for",10207
"punish him",10167
"punish the",10195
"punitive damages",10242
"punt return",10219
"punxsutawney phil",10266
"puppies and",10180
"puppy and",10157
"puppy bowl",10133
"puppy is",10144
"purchasing a",10198
"purchasing and",10157
"purchasing the",10187
"purdue and",10189
"purdue university",10190
"puree and",10188
"purely for",10181
"purely on",10197
"purity and",10221
"purity of",10234
"purported to",10244
"purse and",10200
"purse for",10165
"purse i",10143
"purses and",10229
"pursuant to",10301
"pursued a",10193
"pursued by",10219
"pursuing a",10243
"pursuing the",10193
"pursuit of",10290
"purveyors of",10288
"pushes me",10204
"pushes the",10225
"pushups and",10239
"pussy and",10173
"pussy ass",10167
"putt on",10259
"puzzle pieces",10200
"puzzles and",10235
"pyramid of",10213
"qaeda and",10236
"qaeda in",10218
"qa session",10223
"qa with",10234
"qb and",10170
"qb in",10198
"qr code",10280
"qr codes",10295
"quail hollow",10278
"quake was",10212
"qualifications and",10244
"qualifies as",10290
"qualifies for",10263
"qualify as",10242
"qualify for",10303
"qualifying for",10259
"qualifying offer",10215
"qualifying tournament",10212
"qualify to",10197
"qualities of",10258
"qualities that",10259
"qualms about",10308
"quantities of",10299
"quantity of",10293
"quantum physics",10258
"quarterbacks are",10224
"quarterbacks coach",10237
"quarterbacks in",10243
"quarterly earnings",10234
"quarterly profit",10221
"quartet of",10240
"quarts of",10311
"quebec city",10268
"queens and",10211
"queens of",10222
"que no",10245
"quentin tarantino",10287
"query letter",10268
"queso fresco",10298
"quest for",10299
"questionandanswer session",10342
"quest to",10306
"quibble with",10319
"quicken loans",10333
"quicker and",10260
"quicker than",10292
"quicker to",10243
"quickest way",10316
"quietly and",10248
"quietly in",10241
"quilt and",10245
"quilt i",10244
"quilting and",10276
"quilts and",10278
"quilt top",10227
"quinnipiac poll",10320
"quinnipiac university",10334
"quinn said",10266
"quinoa and",10295
"quinton coples",10333
"quirky and",10288
"quitting smoking",10281
"quotation marks",10330
"quoting the",10288
"rabbit and",10265
"rabbit hole",10272
"rabbits and",10296
"raced to",10295
"rachel and",10255
"rachel maddow",10235
"racially motivated",10315
"racism and",10309
"racism in",10259
"racism is",10278
"racist and",10263
"racist but",10235
"racist or",10240
"racked up",10378
"racking up",10360
"racks and",10314
"racks of",10298
"racks on",10302
"radar and",10262
"radiation levels",10295
"radical change",10265
"radically different",10332
"radioactive waste",10314
"radioactive water",10322
"radios and",10328
"radish and",10350
"radulov and",10378
"rafael furcal",10344
"raffle prizes",10304
"raffle tickets",10309
"raft of",10371
"rahm emanuel",10378
"raided the",10355
"raiders and",10282
"raiders of",10293
"railed against",10396
"railroad and",10284
"railroad tracks",10322
"railway station",10341
"rainbows and",10356
"rained out",10358
"rains it",10325
"raisins and",10349
"rajon rondo",10416
"raked in",10393
"rake in",10358
"raleigh nc",10361
"rallied from",10338
"rallied to",10344
"rallies and",10347
"rallies in",10345
"rallying cry",10364
"ralph lauren",10323
"ralph waldo",10379
"ralston valley",10409
"ramble on",10389
"ramen noodles",10365
"ramifications of",10380
"ramirez said",10332
"ramon sessions",10381
"ramped up",10434
"ramping up",10442
"ramp to",10342
"ramp up",10382
"ramsey county",10392
"rancho cordova",10360
"randomly chosen",10312
"randomly selected",10317
"rand paul",10358
"ranged from",10438
"ranges from",10418
"ranging from",10448
"ranging in",10334
"ranking in",10329
"ranking of",10345
"rankings and",10328
"rankings in",10329
"rant about",10369
"ranting and",10398
"rant lookout",10319
"rant scout",10316
"raped and",10368
"raped by",10376
"raped her",10348
"rapid growth",10353
"rapidly and",10343
"rapidly growing",10338
"rapid transit",10358
"rapper and",10341
"rapport with",10431
"rarest of",10431
"raring to",10467
"raritan bay",10404
"rarity in",10397
"rascal flatts",10443
"rash and",10383
"rash of",10416
"raspberries and",10413
"raspberry and",10364
"raspberry jam",10362
"ratcheting up",10473
"ratchet up",10388
"rational and",10366
"rationale for",10429
"rat pack",10383
"rats in",10366
"rattle off",10414
"raul ibanez",10424
"ravaged by",10459
"raved about",10478
"rave reviews",10416
"ravi and",10383
"raving about",10453
"ravioli with",10404
"ravi was",10393
"raymond felton",10393
"raymond james",10378
"raymond lesniak",10372
"rays and",10381
"rays of",10373
"razor blade",10394
"razor blades",10409
"razor sharp",10410
"rb and",10367
"rbis and",10430
"rbis for",10369
"rbis in",10412
"rb singer",10382
"reacted to",10456
"reacting to",10484
"reactions and",10406
"reactions of",10398
"reactions to",10440
"reactor is",10389
"reactors and",10457
"react the",10375
"react to",10474
"react when",10388
"readily available",10473
"readings and",10417
"readings for",10405
"reagan and",10412
"reagan in",10396
"realignment and",10454
"realisation that",10480
"realise how",10404
"realises that",10486
"realise that",10488
"realise the",10393
"realistic and",10418
"realistic to",10397
"realities and",10426
"realities of",10494
"realization of",10448
"realization that",10502
"realizes that",10495
"realm of",10507
"realms of",10474
"realtor and",10450
"reams of",10527
"reaping the",10506
"reapply for",10502
"reap the",10490
"rearview mirror",10535
"reasonably good",10418
"reasonably priced",10482
"rebecca black",10460
"rebel against",10424
"rebellious and",10482
"rebels and",10447
"rebirth of",10492
"reboot of",10473
"rebounded from",10490
"rebounding and",10464
"rebuilding the",10473
"rebuild the",10484
"rebuild their",10435
"recalling the",10512
"recalls the",10472
"recap of",10493
"recapture the",10520
"rec center",10473
"receipt of",10492
"receipts and",10479
"receivers and",10445
"receivers coach",10439
"receivers in",10447
"receptions and",10484
"receptions for",10502
"receptive to",10549
"recesses of",10557
"recidivism rates",10543
"recipient of",10537
"recipients of",10499
"reciting the",10527
"reckless and",10461
"reckless driving",10499
"reckoned with",10554
"reclaim the",10524
"recognised as",10501
"recognise that",10491
"recognise the",10524
"recognizes that",10508
"recognizes the",10527
"recognizing that",10507
"recognizing the",10533
"recollection of",10569
"recollections of",10520
"recommending a",10501
"recommending that",10505
"recommends that",10508
"reconcile the",10526
"reconnecting with",10580
"reconnect with",10560
"reconsider the",10531
"reconstruction of",10532
"recordings and",10465
"recordings of",10519
"recounts the",10543
"recount the",10538
"recoup the",10537
"recover and",10486
"recover from",10546
"recovering from",10577
"recovers from",10544
"recover the",10484
"recreate it",10506
"recreate the",10550
"recruit a",10477
"recruit and",10489
"recruited by",10534
"recruited to",10517
"recruit in",10495
"recruiting and",10482
"recruiting class",10518
"recruiting for",10489
"recurring theme",10540
"recycled materials",10513
"recycling and",10507
"recycling program",10494
"redemption and",10510
"redesign the",10532
"redevelopment agency",10512
"redevelopment of",10530
"redirected to",10592
"redistricting process",10547
"redolent of",10616
"redo the",10550
"reds and",10489
"redshirt freshman",10603
"reds in",10487
"reduces the",10590
"reducing the",10579
"reducing their",10490
"reduction and",10492
"reduction in",10586
"reduction of",10539
"reductions in",10583
"reductions to",10532
"redwood city",10611
"reeks of",10625
"reel in",10565
"reeling from",10605
"reese said",10555
"reese witherspoon",10544
"refer a",10494
"referenced the",10568
"references and",10531
"references to",10607
"referencing the",10586
"referendum on",10588
"referendum to",10542
"referrals to",10577
"referred the",10509
"referred to",10649
"referring to",10654
"refers to",10655
"refer to",10646
"refer you",10526
"refined and",10559
"refinery in",10593
"reflected in",10613
"reflected on",10577
"reflected the",10565
"reflecting on",10612
"reflecting the",10582
"reflections of",10587
"reflections on",10616
"reflective of",10615
"reforming the",10612
"reforms in",10558
"reforms that",10559
"reforms to",10556
"refrained from",10670
"refrain from",10659
"refreshments and",10599
"refreshments will",10600
"refresh the",10594
"refried beans",10668
"refrigerate for",10613
"refrigerate until",10614
"refrigerator and",10590
"refrigerator for",10592
"refrigerator to",10554
"refs are",10591
"refugee camp",10616
"refugees and",10596
"refuge for",10579
"refuge from",10576
"refuge in",10633
"refund the",10569
"refusal to",10679
"refuses to",10687
"refuse the",10539
"refuse to",10687
"refusing to",10690
"regained his",10626
"regained the",10638
"regain his",10594
"regain the",10641
"regarded as",10682
"regarded by",10579
"regards the",10576
"regards to",10689
"reggae music",10609
"reggie evans",10613
"regis jesuit",10661
"registering for",10639
"regretted it",10652
"regularseason game",10601
"regularseason games",10665
"regulated by",10623
"regulate the",10637
"regulating the",10665
"regulatory approval",10584
"regulatory commission",10620
"regulatory filing",10604
"rehab and",10601
"rehab assignment",10615
"rehab center",10575
"rehabilitation and",10630
"rehearsals and",10628
"rehearsals for",10643
"reid and",10618
"reid dnev",10600
"reid said",10610
"reign of",10658
"reign over",10610
"reign supreme",10625
"reimbursed for",10673
"reinforced by",10652
"reinforces the",10689
"reinforce the",10687
"rein in",10711
"reinvent the",10690
"reinvestment act",10709
"reiterated his",10667
"reiterated that",10671
"rejecting the",10682
"rejection of",10689
"rejects the",10667
"rejoice and",10644
"rejoice in",10694
"rejoined the",10715
"rejoin the",10733
"relates to",10731
"relate to",10733
"relating to",10741
"relation between",10628
"relation to",10740
"relative of",10629
"relative to",10677
"relative who",10598
"relaxation and",10673
"relaxed and",10692
"releases and",10624
"releases from",10625
"releases in",10610
"releasing a",10676
"releasing the",10685
"releasing their",10622
"relegated to",10751
"relevance of",10675
"relevance to",10686
"relevant and",10648
"relevant in",10623
"relevant to",10697
"reliable and",10657
"reliable source",10621
"reliance on",10755
"reliant on",10744
"relied heavily",10675
"relied on",10757
"relied upon",10677
"relies heavily",10676
"relies on",10761
"relieve stress",10681
"relieve the",10689
"religions and",10684
"relish in",10691
"relish the",10713
"relive the",10718
"relocated to",10742
"relocate to",10730
"relocating to",10740
"reluctance to",10756
"reluctant to",10771
"rely heavily",10640
"relying on",10780
"rely on",10784
"remainder of",10784
"remake of",10741
"remake the",10686
"remarkable and",10638
"remarkable that",10635
"remarkable to",10636
"remarked that",10746
"rematch in",10701
"rematch of",10706
"remembers it",10666
"remembers the",10724
"remembers when",10660
"remembrance of",10758
"reminders of",10747
"reminds me",10795
"reminds us",10704
"reminds you",10682
"reminiscent of",10808
"reminiscing about",10756
"remiss if",10773
"remix of",10717
"remnant of",10780
"remnants of",10798
"remorse for",10748
"remote and",10673
"remote area",10667
"remote control",10709
"removes the",10757
"removing a",10682
"removing the",10763
"renaissance and",10710
"renamed the",10752
"rendition of",10813
"renditions of",10815
"renewable energy",10808
"renewal district",10708
"renewal of",10736
"renewed interest",10694
"renewed the",10691
"reno nev",10724
"renovate the",10787
"renovating the",10785
"renovation and",10711
"renovation of",10758
"renovations to",10740
"renowned for",10775
"rentals and",10734
"rentals in",10724
"rented a",10769
"rented out",10719
"rented the",10735
"renting a",10775
"renting out",10735
"renting the",10740
"reopening of",10778
"reopen the",10768
"reorganization plan",10795
"reo speedwagon",10821
"repaired and",10743
"repairs and",10755
"repairs to",10759
"repayment of",10804
"repay the",10796
"repealing the",10810
"repeal of",10791
"repeal the",10780
"repeated and",10705
"repeated over",10701
"repeated the",10734
"repeating a",10740
"repeating it",10733
"repeating the",10787
"repeats the",10785
"repentance and",10818
"repent and",10805
"repertoire of",10788
"repertory theatre",10826
"repetition of",10795
"rephrase that",10836
"replacements for",10801
"replaces the",10804
"replacing a",10747
"replacing it",10758
"replacing the",10812
"replay of",10777
"replenish the",10826
"replete with",10876
"replica of",10840
"replicate the",10835
"replies to",10793
"replying to",10845
"repost this",10804
"representation in",10774
"representation of",10832
"representations of",10855
"representing a",10748
"representing the",10832
"reprieve from",10833
"reproduction of",10808
"reproductive health",10793
"reproductive rights",10797
"reps and",10766
"reps in",10781
"requesting a",10795
"requesting that",10803
"reread the",10825
"rerun of",10848
"reruns of",10851
"resale value",10845
"rescheduled for",10849
"rescued by",10811
"rescued from",10818
"researched the",10821
"researcher and",10793
"researcher at",10812
"researching and",10793
"researching the",10824
"resemblance to",10885
"resemble a",10828
"resembled a",10861
"resembles a",10863
"resembles the",10844
"resemble the",10843
"resembling a",10868
"resembling the",10842
"resentment and",10827
"resent the",10858
"reservation for",10808
"reservation in",10796
"reserved for",10882
"reset my",10824
"reset the",10825
"reshape the",10886
"resided in",10908
"reside in",10902
"residency at",10823
"residency in",10841
"resides in",10901
"residing in",10910
"resignation from",10807
"resignation of",10848
"resign from",10834
"resilient and",10856
"resist a",10801
"resistant to",10907
"resisted the",10863
"resisting arrest",10884
"resisting the",10877
"resist the",10861
"resist this",10785
"resolving the",10890
"resonated with",10923
"resonates with",10914
"resonate with",10909
"resorted to",10943
"resorting to",10947
"resorts and",10836
"resorts in",10834
"respected and",10841
"respected by",10821
"respected in",10815
"respectful and",10847
"respectfully disagree",10886
"respectful of",10872
"respectively and",10819
"respectively in",10820
"respectively the",10838
"respects the",10877
"respects to",10855
"respite from",10915
"respondents said",10881
"responding to",10945
"responding with",10814
"responds to",10922
"responds with",10858
"responses and",10819
"responses from",10837
"responses to",10906
"responsible and",10796
"responsible for",10955
"responsible to",10787
"responsive to",10916
"restart the",10886
"rested and",10862
"rested on",10863
"resting in",10849
"resting on",10915
"resting place",10882
"restitution to",10890
"restless and",10885
"restoration and",10870
"restoration of",10897
"restoring the",10931
"restraining order",10972
"restraint and",10902
"restricted free",10911
"restricted to",10912
"restriction on",10924
"restrooms and",10909
"restructuring of",10908
"restructuring plan",10886
"rests on",10939
"rests with",10902
"resulted from",10883
"resulted in",10992
"resulting from",10917
"resulting in",10964
"resumes to",10924
"resurgence in",10934
"resurgence of",10954
"resurrection and",10891
"resurrection of",10930
"retails for",10999
"retained a",10899
"retained by",10915
"retained the",10909
"retaining the",10932
"retaliation for",10953
"retelling of",10981
"rethink my",10907
"rethink the",10928
"retina display",10971
"retiree health",10952
"retirees and",10925
"retiring after",10895
"retiring from",10912
"retiring in",10913
"retreated to",10971
"retrieve the",10969
"retroactive to",10990
"retrospect i",10945
"retweeted me",10939
"reunion and",10882
"reunion with",10898
"reunited with",10996
"reunite with",10972
"reusable bags",10977
"rev al",10892
"revamping the",10978
"rev dr",10880
"revealing a",10920
"revealing that",10916
"revealing the",10943
"revelation of",10935
"revelations about",10944
"revelations of",10949
"revelations that",10946
"revelation that",10933
"reveled in",11025
"revel in",11010
"reveling in",11040
"revels in",11026
"reverence for",10987
"reversal of",10995
"reverse and",10895
"reversed a",10946
"reversed the",10961
"reverse the",10954
"reversing the",11000
"reverted to",11033
"revert to",11041
"reviewed and",10915
"reviewed by",10977
"reviewed the",10988
"reviewing a",10925
"reviewing the",10997
"revise the",10992
"revising the",10983
"revision of",10977
"revisions to",10971
"revisited the",10996
"revisit the",11004
"revitalize the",11017
"revival of",11006
"revive the",11022
"revocation of",11031
"revolutionary war",10984
"revolve around",11060
"revolved around",11066
"revolves around",11065
"revolving around",10996
"revolving door",11042
"rewarded for",10999
"rewarded with",11005
"rewarding experience",10947
"rewarding to",10967
"rewrite of",10989
"rewrite the",11008
"rewrote the",11058
"rex ryan",11020
"reyes and",10986
"reynolds said",10961
"rhetorical question",11031
"rhetoric and",11006
"rhetoric is",10968
"rhetoric of",10979
"rheumatoid arthritis",11083
"rhode island",11083
"rhubarb and",10992
"rhyme or",11005
"rhymes with",11032
"rhyme with",11001
"rhythm and",11002
"rhythm of",11010
"rhythms and",11017
"rhythm section",10976
"rhythms of",11012
"rib and",10981
"ribbons and",11000
"ribbons of",10991
"ribs and",11018
"ribs are",10961
"ribs with",10979
"richards and",11002
"richardson and",10981
"richardson is",10996
"richardson said",10995
"richer and",11030
"riches of",11023
"richmond heights",11004
"richmond va",11022
"richness of",11073
"richness to",11032
"rickie weeks",11073
"ricky gervais",11022
"ricky rubio",10998
"ricotta cheese",11033
"ridden by",11040
"riddled with",11117
"rider and",11015
"rid of",11119
"rid the",10969
"rife with",11102
"riff on",11061
"riffs and",11065
"rifle and",11017
"rifle association",11007
"rifles and",11047
"rift between",11070
"righteous and",11031
"righteous man",11022
"righteousness and",11066
"rightfully so",11089
"rightful place",11081
"rightly so",11042
"“right now",11099
"rigid and",11052
"rigors of",11130
"rihanna and",11029
"rihanna is",11026
"rim and",11035
"rimmed baking",11107
"rim of",11035
"rim to",11012
"ringing in",11056
"rinse and",11067
"rinse the",11051
"rio de",11050
"rio grande",11049
"rio rancho",11024
"riots in",11045
"ripe and",11037
"ripe for",11097
"ripping off",11053
"ripping the",11061
"ripple effect",11072
"risen from",11048
"risen in",11035
"risen to",11073
"rises and",11056
"rises in",11032
"rises to",11064
"risked their",11112
"risky business",11050
"risky to",11037
"risotto and",11093
"rite aid",11058
"rite now",11109
"rite of",11067
"ritual of",11071
"rituals and",11093
"rival for",11015
"rivalry between",11074
"rivalry is",11058
"rivalry with",11073
"rivals and",11057
"rivals in",11048
"rivals the",11059
"rival the",11047
"rivera has",11056
"rivera said",11060
"riverview gardens",11141
"rm billion",11067
"rm for",11060
"rm million",11069
"roadtrip to",11125
"roald dahl",11177
"roamed the",11150
"roaming around",11106
"roaming the",11121
"roam the",11130
"roar of",11135
"roasting pan",11128
"robe and",11124
"robertson and",11104
"robertson said",11083
"robes and",11134
"rochester ny",11110
"rocked it",11110
"rocked my",11084
"rocked the",11130
"rocket science",11093
"rockin it",11077
"rockin out",11068
"rockin the",11114
"rockside road",11190
"rockwood school",11140
"rod and",11090
"rodgers is",11096
"rodham clinton",11208
"rodney king",11139
"rod stewart",11078
"roe v",11146
"roger clemens",11096
"roger federer",11062
"roger goodell",11122
"roland park",11154
"rollercoaster ride",11155
"romaine lettuce",11179
"roman catholic",11143
"roman empire",11100
"romankow said",11201
"romans and",11115
"rome and",11117
"romeo and",11180
"rome the",11078
"romneys campaign",11117
"romp through",11159
"ronald mcdonald",11115
"ronald reagan",11186
"rondo is",11116
"roomful of",11232
"roommate and",11129
"roommate is",11100
"roommates and",11131
"rooney mara",11173
"rooted for",11139
"rooted in",11217
"rooting for",11231
"rope and",11136
"rope in",11110
"ropes and",11141
"rope to",11112
"rory mcilroy",11179
"rosa parks",11148
"rosemary and",11135
"roses and",11123
"roses are",11156
"roses in",11111
"rosh hashanah",11243
"rotary club",11197
"rotator cuff",11242
"roth said",11141
"rotisserie chicken",11209
"rotten and",11162
"rotten tomatoes",11156
"rouches said",11244
"roughed up",11248
"rounded out",11166
"rounded the",11152
"rounded up",11181
"rounding out",11222
"rounding up",11201
"roundup of",11192
"routes and",11186
"routes for",11137
"routes to",11151
"routines and",11188
"rout of",11234
"rowan university",11203
"rows and",11148
"rows behind",11145
"rows of",11227
"rs crore",11167
"rss feed",11221
"rss feeds",11217
"rsvp by",11163
"rsvp for",11164
"rsvp to",11194
"rts and",11196
"rubbed the",11186
"rubbing his",11185
"rudyard kipling",11282
"rudy fernandez",11217
"rudy gay",11216
"rudy giuliani",11185
"rue de",11192
"rug and",11179
"rugs and",11212
"ruining my",11229
"ruining the",11215
"ruler of",11225
"rulers and",11218
"rulers of",11204
"rum and",11208
"rummage sale",11250
"rummaging through",11264
"rumored to",11272
"rundown of",11248
"runin with",11283
"runnerup in",11216
"runny nose",11248
"runup to",11294
"runway and",11186
"runway in",11179
"rupert murdoch",11272
"rural and",11156
"rural areas",11211
"rural communities",11144
"russa said",11218
"russian orthodox",11146
"russian president",11158
"russian river",11183
"rutgers and",11175
"rutgers student",11167
"rutgers university",11234
"ruth and",11214
"ruth bader",11201
"rv and",11227
"rv park",11216
"ryder cup",11256
"rye bread",11225
"saab x",11269
"sac fly",11230
"sacha baron",11312
"sachs group",11234
"sack and",11213
"sack of",11242
"sacks and",11244
"sacks in",11242
"sacred and",11204
"sacred heart",11231
"sacrificed for",11254
"saddam hussein",11302
"saddened by",11287
"saddened to",11275
"saddens me",11332
"saddle and",11230
"saddled with",11327
"safeguard the",11288
"safer and",11236
"safer for",11213
"safer than",11249
"sagamore hills",11329
"saga of",11256
"sage and",11261
"saith the",11284
"saith unto",11295
"sake and",11218
"sake i",11185
"sake of",11306
"saks fifth",11318
"salads and",11280
"salads are",11218
"salazar said",11295
"salem and",11228
"salem county",11288
"sallie mae",11331
"salma hayek",11356
"salon and",11246
"salon in",11236
"salon is",11222
"saloon in",11278
"salsa and",11264
"salsa on",11215
"salsa verde",11220
"salted caramel",11287
"salted water",11312
"salty and",11263
"salute the",11261
"salute to",11290
"salute you",11281
"salvador dali",11306
"salvage the",11296
"salvation and",11260
"salvation army",11310
"salvation of",11250
"samesex couples",11317
"samesex marriage",11356
"samesex marriages",11262
"sampling error",11273
"sampling of",11326
"sampling the",11275
"sams club",11332
"samsung galaxy",11321
"samsung is",11262
"sanchez and",11287
"sanchez is",11266
"sanchez said",11260
"sanctions against",11290
"sanctions and",11276
"sanctions on",11277
"sanctity of",11387
"sanctuary in",11286
"’s and",11280
"′s and",11308
"sandals and",11310
"sanders said",11312
"sandra bullock",11301
"sandra day",11280
"sandra fluke",11301
"sands of",11325
"sandwiched between",11378
"sandy beach",11267
"sane and",11303
"sanford fla",11322
"sanford police",11309
"sanity and",11322
"sank in",11318
"santonio holmes",11403
"sao paulo",11398
"são paulo",11392
"sara lioi",11278
"sarkozy and",11334
"sarkozy said",11304
"sashacan they",11416
"satan and",11305
"satan is",11310
"satellite radio",11314
"satellite tv",11310
"satin ribbon",11357
"satisfied and",11268
"satisfied that",11268
"satisfied with",11380
"satisfy a",11317
"satisfy the",11349
"satisfy your",11321
"saucepan and",11347
"saucepan bring",11310
"saucepan over",11366
"sauces and",11353
"saudi arabia",11409
"sauerkraut and",11393
"sausage and",11348
"sausages and",11361
"sausage with",11285
"sauté until",11373
"sauvignon blanc",11403
"savage and",11313
"savior and",11335
"savior of",11332
"savoring the",11411
"savor the",11397
"savory and",11343
"savvy and",11333
"sayings and",11387
"sayin i",11309
"saysomething comes",11419
"sb and",11316
"sb is",11304
"scaled back",11414
"scales and",11355
"scaling back",11416
"scallops and",11360
"scallops with",11364
"scan and",11342
"scanned the",11391
"scanner monitor",11369
"scanners and",11388
"scanning the",11383
"scan of",11339
"scan the",11361
"scantily clad",11453
"scarcity of",11441
"scares me",11432
"scares the",11366
"scares you",11370
"scarf and",11366
"scaring me",11407
"scaring the",11414
"scarlet knights",11418
"scarlett johansson",11448
"scars on",11371
"scars that",11375
"scar tissue",11402
"scarves and",11396
"scavenger hunt",11470
"scenarios are",11363
"scenery and",11383
"scenery is",11362
"scent and",11367
"scent of",11428
"schaefer said",11415
"schedules and",11374
"scheduling and",11379
"schemes and",11409
"schmidt and",11374
"schneider said",11412
"schneider who",11396
"scholar and",11395
"scholars and",11375
"scholarships and",11373
"scholarships for",11409
"scholarships to",11420
"schooling and",11404
"schwartz and",11388
